Consist,Form,Opponent,Venue,Runs
1.401,0.577,0.968,0.834,1
1.401,0.577,0.913,0.913,1
1.552,0.577,1.047,2.7,1
1.552,0.577,1.047,1.26,1
1.552,0.577,1.047,2.123,1
1.552,0.577,1.014,2.29,1
1.552,0.577,1.014,1.411,1
1.552,0.577,1.014,1.608,1
1.552,0.577,1.047,1.893,1
1.552,0.577,0.958,1.893,1
1.552,0.577,1.047,1.893,1
1.519,0.577,0.958,1.893,1
1.519,0.577,1.014,0.834,1
1.776,0.577,0.88,0.834,1
1.776,0.577,1.014,1.91,1
1.776,0.577,1.014,0.834,1
1.776,0.577,1.014,0.834,1
1.776,0.577,1.093,0.913,1
1.776,0.577,0.834,0.834,1
1.776,0.577,1.014,1.759,1
1.776,0.577,1.093,1.333,1
1.776,0.577,1.093,0.834,1
1.743,0.577,0.958,0.834,1
1.743,0.577,1.093,1.641,1
1.743,0.577,0.958,0.834,1
1.743,0.577,0.88,1.864,1
1.743,0.577,0.935,1.864,1
1.743,0.577,0.958,1.26,1
1.743,0.577,1.014,1.438,1
1.743,0.577,1.06,1.972,1
1.743,0.577,1.093,1.972,1
1.743,0.577,1.093,1.972,1
1.71,0.577,1.139,1.972,1
1.71,0.577,0.935,0.834,1
1.71,0.577,1.047,0.834,1
1.71,0.577,0.935,1.339,1
1.71,0.577,1.047,1.49,1
1.71,0.577,1.047,1.49,1
1.71,0.577,0.958,2.051,1
1.71,0.577,1.139,2.051,1
1.71,0.577,1.139,2.018,1
1.71,0.577,0.88,1.837,1
1.71,0.577,1.093,2.097,1
2.022,0.577,1.217,2.097,1
2.022,0.577,1.139,1.91,1
2.022,0.577,1.037,1.562,1
2.022,0.577,0.834,1.759,1
2.022,0.577,1.126,1.608,1
2.022,0.577,0.913,1.608,1
2.022,0.577,1.126,1.26,1
2.022,0.577,1.217,1.641,1
2.022,0.577,0.834,0.913,1
2.022,0.577,1.037,2.493,1
2.101,0.577,1.116,0.88,1
2.101,0.577,1.116,1.641,1
2.101,0.577,1.116,0.913,1
2.101,0.577,0.834,1.064,1
2.101,0.577,1.014,0.913,1
2.101,0.577,1.093,0.88,1
2.358,0.577,1.217,2.139,1
2.358,0.577,1.139,1.641,1
2.358,0.577,1.217,1.608,1
2.358,0.577,1.139,1.608,1
2.358,0.577,1.139,1.608,1
2.358,0.577,1.014,1.484,1
2.358,0.577,1.014,1.484,1
2.358,0.577,0.958,1.136,1
2.358,0.577,0.958,1.91,1
2.358,0.577,0.958,2.851,1
2.358,0.577,0.958,2.851,1
2.358,0.577,1.116,1.989,1
2.358,0.577,1.195,1.989,1
2.358,0.577,1.217,2.319,1
2.358,0.577,1.217,1.765,1
2.614,0.577,1.217,0.834,1
2.614,0.577,1.217,1.821,1
2.614,0.577,1.171,2.067,1
2.614,0.577,0.958,1.182,1
2.614,0.577,0.834,1.333,1
2.614,0.577,1.171,2.067,1
2.614,0.577,1.037,1.719,1
2.614,0.577,1.171,2.274,1
2.614,0.577,0.88,0.913,1
2.614,0.577,1.171,0.913,1
2.614,0.577,1.093,0.834,1
2.614,0.577,1.217,2.067,1
2.614,0.577,1.217,2.067,1
2.614,0.577,1.171,0.834,1
2.614,0.577,0.834,2.123,1
2.614,0.577,1.171,3.277,1
2.614,0.577,1.171,0.913,1
2.614,0.577,1.171,2.218,1
2.614,0.577,1.171,2.851,1
2.614,0.577,1.171,2.123,1
2.614,0.577,1.25,0.834,1
2.765,0.577,1.25,1.864,1
2.161,0.577,1.171,1.641,1
2.765,0.577,1.171,2.29,1
2.765,0.577,1.25,1.943,1
2.614,0.577,1.093,2.067,1
2.614,0.577,1.093,2.067,1
2.821,0.577,1.093,2.47,1
2.821,0.577,1.25,1.815,1
2.821,0.577,1.25,2.47,1
2.821,0.577,1.25,2.611,1
2.821,0.577,1.25,2.897,1
2.821,0.577,1.217,1.182,1
2.821,0.577,1.25,0.834,1
2.821,0.577,1.25,0.88,1
2.821,0.577,1.139,1.641,1
2.821,0.577,1.139,0.913,1
2.821,0.577,1.217,1.182,1
2.821,0.577,1.195,0.88,1
2.821,0.577,1.25,2.369,1
2.821,0.577,1.25,2.202,1
2.821,0.577,1.25,2.47,1
2.821,0.577,1.195,1.306,1
2.821,0.577,1.195,1.608,1
2.821,0.577,1.162,0.913,1
2.821,0.577,1.162,1.641,1
2.821,0.577,1.217,0.88,1
2.217,0.577,1.185,1.182,1
2.67,0.577,1.185,1.687,1
2.67,0.577,1.185,1.536,1
2.67,0.577,1.25,1.687,1
2.67,0.577,1.037,1.765,1
2.821,0.577,1.217,1.49,1
2.821,0.577,1.162,1.838,1
2.821,0.577,1.162,1.562,1
2.821,0.577,1.217,2.851,1
2.821,0.577,1.217,0.88,1
2.821,0.577,1.185,2.425,1
2.821,0.577,1.185,1.972,1
2.821,0.577,1.185,1.438,1
2.821,0.577,1.185,1.339,1
2.821,0.577,0.88,1.438,1
2.821,0.577,1.185,2.146,1
2.821,0.577,0.834,2.146,1
2.821,0.577,1.25,2.224,1
2.821,0.577,1.25,0.834,1
2.821,0.577,1.25,0.88,1
2.821,0.577,1.185,2.218,1
2.821,0.577,1.185,1.759,1
2.821,0.577,1.185,1.687,1
0.834,0.577,0.834,0.834,1
0.834,0.577,0.913,0.834,1
0.801,0.577,0.88,0.834,1
0.801,0.577,0.834,0.834,1
0.801,0.577,0.834,1.26,1
0.801,0.577,0.88,1.484,1
0.801,0.577,0.88,0.913,1
0.801,0.577,0.88,1.333,1
0.801,0.577,0.834,0.834,1
0.768,0.577,0.88,0.834,1
0.768,0.577,0.834,1.438,1
0.768,0.577,0.958,0.834,1
0.768,0.577,0.958,1.333,1
0.768,0.577,0.834,0.834,1
0.919,0.577,0.834,1.438,1
0.919,0.577,0.913,0.834,1
0.768,0.577,0.88,0.834,1
0.768,0.577,0.834,0.913,1
0.768,0.577,0.834,0.88,1
0.735,0.577,0.913,0.834,1
0.735,0.577,0.834,0.913,1
0.735,0.577,0.913,1.484,1
0.735,0.577,0.88,0.913,1
0.886,0.577,0.88,1.713,1
0.886,0.577,0.834,0.985,1
0.886,0.577,0.88,0.834,1
0.886,0.577,0.88,0.88,1
0.886,0.577,0.958,1.837,1
0.886,0.577,0.88,0.88,1
0.886,0.577,0.913,1.438,1
0.985,0.577,0.834,0.985,1
1.837,0.577,0.913,2.342,1
2.46,0.577,0.88,0.985,1
2.034,0.577,0.834,0.834,1
2.034,0.577,0.834,1.411,1
2.034,0.577,0.834,1.49,1
2.034,0.577,0.958,1.562,1
2.034,0.577,0.834,1.215,1
2.034,0.577,0.834,1.837,1
2.034,0.577,0.88,1.031,1
2.034,0.577,0.88,0.834,1
2.034,0.577,0.958,0.913,1
2.034,0.577,0.958,1.339,1
2.034,0.577,0.958,2.919,1
2.034,0.577,0.958,2.493,1
2.09,0.577,0.913,1.837,1
2.09,0.577,0.913,1.49,1
2.09,0.577,0.968,2.398,1
2.09,0.577,0.913,1.972,1
2.516,0.577,1.047,2.572,1
2.595,0.577,1.047,3.07,1
2.595,0.577,1.126,1.26,1
2.595,0.577,0.913,2.549,1
2.818,0.577,1.093,1.26,1
2.874,0.577,1.093,0.834,1
2.874,0.577,0.968,0.834,1
2.874,0.577,1.014,1.49,1
2.874,0.577,1.047,2.549,1
2.874,0.577,1.204,2.549,1
2.874,0.577,1.014,2.123,1
2.874,0.577,0.834,3.054,1
2.874,0.577,1.093,1.411,1
2.874,0.577,1.093,1.641,1
2.874,0.577,1.093,1.972,1
2.874,0.577,1.093,1.624,1
2.874,0.577,0.913,1.411,1
2.874,0.577,1.204,3.054,1
2.874,0.577,1.171,2.247,1
0.952,0.577,0.88,1.031,1
0.801,0.577,0.88,0.834,1
0.801,0.577,0.834,0.834,1
0.768,0.577,0.834,0.985,1
0.919,0.577,0.913,1.182,1
0.919,0.577,0.88,0.88,1
0.919,0.577,0.88,0.88,1
0.919,0.577,0.834,0.88,1
1.07,0.577,0.88,1.333,1
0.919,0.577,0.834,0.913,1
1.713,0.577,0.834,1.713,1
1.864,0.577,0.834,1.864,1
2.195,0.577,0.968,1.562,1
2.195,0.577,0.968,0.834,1
2.011,0.577,0.834,1.411,1
1.585,0.577,0.913,1.339,1
2.011,0.577,0.834,0.834,1
2.011,0.577,0.935,2.975,1
2.011,0.577,0.935,0.834,1
2.011,0.577,0.834,0.834,1
2.011,0.577,0.913,0.834,1
2.011,0.577,0.834,2.139,1
2.011,0.577,1.014,1.49,1
2.011,0.577,1.014,2.493,1
2.011,0.577,0.913,1.182,1
2.011,0.577,0.913,1.916,1
2.011,0.577,0.968,1.457,1
2.011,0.577,0.913,0.834,1
2.011,0.577,0.834,0.834,1
2.011,0.577,0.968,3.126,1
2.011,0.577,1.014,2.067,1
1.978,0.577,1.014,1.031,1
1.978,0.577,0.991,1.536,1
1.978,0.577,0.991,1.109,1
1.978,0.577,0.991,0.834,1
1.978,0.577,0.968,2.123,1
2.235,0.577,0.913,2.627,1
2.235,0.577,0.913,2.123,1
2.235,0.577,0.913,2.201,1
2.235,0.577,0.991,1.591,1
2.235,0.577,0.968,0.834,1
2.235,0.577,0.935,1.608,1
2.235,0.577,1.014,2.123,1
2.235,0.577,1.047,1.26,1
2.235,0.577,1.047,0.985,1
0.768,0.577,0.926,0.834,1
0.768,0.577,0.926,0.834,1
0.768,0.577,0.834,0.834,1
0.768,0.577,0.926,0.88,1
0.768,0.577,0.88,0.88,1
0.768,0.577,0.926,0.88,1
0.735,0.577,0.834,0.834,1
0.735,0.577,0.88,0.834,1
0.735,0.577,0.88,0.834,1
0.735,0.577,0.88,1.182,1
0.735,0.577,0.88,0.834,1
0.735,0.577,0.834,0.88,1
0.735,0.577,0.834,0.926,1
0.703,0.577,0.958,0.926,1
0.703,0.577,0.88,0.926,1
0.703,0.577,0.88,0.88,1
0.703,0.577,0.88,1.136,1
0.703,0.577,0.834,0.985,1
0.703,0.577,0.88,0.834,1
0.854,0.577,0.958,1.287,1
0.854,0.577,0.88,0.834,1
0.67,0.577,0.958,0.834,1
0.821,0.577,0.88,1.53,1
0.821,0.577,0.834,0.834,1
0.67,0.577,0.88,0.834,1
1.837,0.577,0.913,0.834,1
2.044,0.577,0.834,1.438,1
2.47,0.577,0.968,0.985,1
2.47,0.577,0.834,1.287,1
2.47,0.577,0.834,0.834,1
2.47,0.577,0.913,0.834,1
2.975,0.577,1.047,1.988,1
2.975,0.577,0.968,1.411,1
2.975,0.577,0.968,0.913,1
2.975,0.577,0.968,2.549,1
2.549,0.577,0.968,2.549,1
2.549,0.577,0.834,1.411,1
2.549,0.577,0.913,0.834,1
2.549,0.577,0.913,0.834,1
2.516,0.577,1.014,1.713,1
2.516,0.577,0.88,1.608,1
2.516,0.577,0.968,1.837,1
2.516,0.577,0.968,1.136,1
2.516,0.577,1.047,1.136,1
2.572,0.577,0.834,2.123,1
2.828,0.577,0.913,1.641,1
2.828,0.577,0.913,0.834,1
2.828,0.577,0.913,0.834,1
0.985,0.577,0.834,0.985,1
0.985,0.577,0.913,1.064,1
0.834,0.577,0.913,0.913,1
0.985,0.577,0.834,1.713,1
0.985,0.577,0.834,1.366,1
0.801,0.577,0.913,1.182,1
0.952,0.577,0.834,1.438,1
0.952,0.577,0.88,0.834,1
0.952,0.577,0.913,0.834,1
0.952,0.577,0.88,0.913,1
0.952,0.577,0.958,0.913,1
0.952,0.577,0.958,0.991,1
0.801,0.577,0.958,0.958,1
1.277,0.577,0.88,1.966,1
1.277,0.577,0.88,1.438,1
1.277,0.577,1.004,1.517,1
1.244,0.577,0.834,1.484,1
1.244,0.577,1.004,1.864,1
1.244,0.577,0.834,1.517,1
1.244,0.577,1.083,1.91,1
1.244,0.577,0.913,1.411,1
1.244,0.577,0.913,1.49,1
1.244,0.577,0.968,0.834,1
1.244,0.577,0.88,0.985,1
1.244,0.577,0.88,0.834,1
1.244,0.577,0.968,1.562,1
1.093,0.577,0.958,1.26,1
1.093,0.577,1.047,1.837,1
1.093,0.577,1.047,0.834,1
1.093,0.577,1.083,1.109,1
1.093,0.577,1.083,1.188,1
1.093,0.577,1.162,1.188,1
1.06,0.577,1.162,1.188,1
1.06,0.577,1.162,1.188,1
1.06,0.577,0.88,1.989,1
1.06,0.577,0.968,1.966,1
1.06,0.577,0.913,1.562,1
1.06,0.577,0.913,0.834,1
1.06,0.577,0.991,1.136,1
1.317,0.577,0.958,1.837,1
1.743,0.577,1.129,2.29,1
1.743,0.577,0.88,1.411,1
1.743,0.577,1.129,1.411,1
1.743,0.577,1.129,1.411,1
1.71,0.577,0.968,1.438,1
1.71,0.577,0.834,1.864,1
1.71,0.577,1.014,1.864,1
1.71,0.577,1.129,1.411,1
1.71,0.577,0.991,1.136,1
1.71,0.577,0.913,1.064,1
1.71,0.577,0.968,0.834,1
1.71,0.577,0.958,1.411,1
1.71,0.577,0.958,1.411,1
1.71,0.577,0.958,1.49,1
1.71,0.577,0.958,1.49,1
1.71,0.577,1.037,1.457,1
1.71,0.577,0.968,0.834,1
1.71,0.577,1.047,1.136,1
1.71,0.577,1.185,1.988,1
1.71,0.577,1.047,1.339,1
1.71,0.577,1.037,1.215,1
1.71,0.577,1.037,2.044,1
1.71,0.577,0.88,1.838,1
1.71,0.577,1.185,1.989,1
1.71,0.577,1.037,1.989,1
1.71,0.577,1.004,2.067,1
1.71,0.577,1.083,1.26,1
1.71,0.577,1.014,1.411,1
1.71,0.577,1.093,1.182,1
1.71,0.577,1.093,1.031,1
1.71,0.577,1.083,1.182,1
1.71,0.577,0.88,1.182,1
1.71,0.577,0.88,2.044,1
1.71,0.577,0.88,1.215,1
1.967,0.577,0.88,1.864,1
1.967,0.577,0.958,0.834,1
1.967,0.577,0.958,0.834,1
1.967,0.577,0.958,1.517,1
1.967,0.577,1.014,1.943,1
1.967,0.577,1.093,1.792,1
1.967,0.577,0.88,0.834,1
1.967,0.577,0.958,1.884,1
1.967,0.577,1.093,0.834,1
1.967,0.577,1.093,0.913,1
1.967,0.577,1.093,0.985,1
1.967,0.577,1.093,1.411,1
1.967,0.577,0.834,1.109,1
1.967,0.577,1.171,1.109,1
1.967,0.577,0.991,0.834,1
1.967,0.577,0.958,1.484,1
1.967,0.577,1.037,1.484,1
2.223,0.577,0.958,1.182,1
2.223,0.577,1.037,1.792,1
2.223,0.577,0.958,0.88,1
2.223,0.577,0.958,1.182,1
2.223,0.577,1.004,1.031,1
2.223,0.577,1.004,1.438,1
2.223,0.577,1.004,1.366,1
2.223,0.577,1.171,1.438,1
2.223,0.577,0.958,1.064,1
2.223,0.577,1.171,1.366,1
2.223,0.577,1.171,1.792,1
2.223,0.577,1.093,0.913,1
2.223,0.577,1.171,0.88,1
2.223,0.577,0.834,0.834,1
2.621,0.577,0.913,1.562,1
2.621,0.577,0.968,2.7,1
2.195,0.577,0.968,1.988,1
2.621,0.577,1.047,0.834,1
2.621,0.577,1.047,1.411,1
3.126,0.577,0.913,1.562,1
3.205,0.577,0.991,3.07,1
3.205,0.577,0.834,1.136,1
3.205,0.577,0.913,2.218,1
3.172,0.577,0.935,1.411,1
3.172,0.577,0.935,0.834,1
3.172,0.577,1.014,0.834,1
3.172,0.577,1.014,2.09,1
3.172,1.988,0.968,2.067,1
3.172,1.562,0.968,1.641,1
3.428,2.667,0.913,2.975,1
3.428,2.667,0.834,3.205,1
3.428,2.667,1.014,3.205,1
3.428,2.667,0.913,1.713,1
3.484,2.667,1.047,2.139,1
2.716,0.577,0.913,2.29,1
2.29,0.577,0.913,0.834,1
1.864,0.577,0.834,1.438,1
1.864,0.577,0.913,0.834,1
1.831,0.577,0.88,1.517,1
1.405,0.577,0.88,0.834,1
1.831,0.577,0.88,1.864,1
1.405,0.577,0.834,0.834,1
1.405,0.577,0.88,1.287,1
1.864,0.577,0.834,1.864,1
1.438,0.577,0.913,0.834,1
1.103,0.577,0.88,0.834,1
1.254,0.577,0.834,1.864,1
1.103,0.577,0.913,0.834,1
1.103,0.577,0.913,1.562,1
1.103,0.577,0.913,0.834,1
1.254,0.577,0.913,2.369,1
1.254,0.834,0.834,0.834,1
1.254,0.801,0.88,0.88,1
1.254,0.801,0.88,0.88,1
1.254,0.801,0.88,0.88,1
1.221,0.801,0.834,0.834,1
1.07,0.768,0.834,1.306,1
1.07,0.768,0.991,0.88,1
1.07,0.919,0.958,1.031,1
1.07,0.919,0.834,0.834,1
1.07,0.919,0.88,0.834,1
0.834,0.577,0.834,0.834,1
1.26,0.577,0.834,1.411,1
1.26,0.577,0.834,1.411,1
0.834,0.577,0.834,0.834,1
0.801,0.577,0.88,0.834,1
2.034,0.577,0.834,0.985,1
1.608,0.577,0.913,0.834,1
2.034,0.577,0.834,2.067,1
1.608,0.577,0.88,1.641,1
1.608,0.577,0.913,1.686,1
1.608,0.577,0.913,1.339,1
1.457,0.577,0.913,1.306,1
1.608,0.577,0.88,2.139,1
1.608,0.577,0.88,0.834,1
3.277,0.577,0.968,1.713,1
3.277,0.577,0.968,1.411,1
3.126,0.577,0.968,0.834,1
3.126,0.577,0.968,3.126,1
3.277,3.277,0.834,2.644,1
3.277,3.277,0.913,2.218,1
3.244,3.244,0.834,1.641,1
3.093,3.244,0.834,1.608,1
3.093,3.244,0.968,1.182,1
3.093,3.093,0.913,0.834,1
1.831,0.577,0.834,1.562,1
1.831,0.577,0.913,1.864,1
1.831,0.577,0.834,0.834,1
1.831,0.577,0.913,1.438,1
1.254,0.577,0.913,0.834,1
1.254,0.577,0.913,0.913,1
1.585,0.577,0.88,1.916,1
1.585,0.577,0.88,1.339,1
1.585,0.577,0.913,1.686,1
2.011,0.577,0.913,2.29,1
2.011,0.577,0.968,0.834,1
2.011,0.577,0.834,1.759,1
2.011,0.577,0.968,2.7,1
2.011,0.577,0.968,2.274,1
2.09,0.577,0.968,0.834,1
2.09,0.577,0.968,2.123,1
2.09,0.577,1.047,1.608,1
2.09,0.577,0.968,3.093,1
2.09,0.577,1.047,2.746,1
2.057,0.577,1.014,2.319,1
1.529,0.577,0.88,1.608,1
1.529,0.577,0.834,0.834,1
2.011,0.577,0.968,1.411,1
2.437,0.577,1.047,1.988,1
2.011,0.577,1.047,1.438,1
2.011,0.577,0.834,1.641,1
2.588,1.562,0.834,2.549,1
0.834,0.577,0.834,0.834,1
0.834,0.577,0.913,0.834,1
0.834,0.577,0.913,1.686,1
1.26,0.577,0.834,1.26,1
1.26,0.577,0.913,1.49,1
1.26,0.577,0.834,1.339,1
1.26,0.577,0.834,0.834,1
1.434,0.577,0.935,1.182,1
1.434,0.577,0.913,0.834,1
1.434,0.577,0.913,2.7,1
0.801,0.577,0.88,0.834,1
0.801,0.577,0.88,0.834,1
0.801,0.577,0.88,0.834,1
0.801,0.577,0.834,1.136,1
0.801,0.577,0.913,1.215,1
0.801,0.577,0.88,0.834,1
0.768,0.577,0.834,1.438,1
0.768,0.577,0.913,0.834,1
0.768,0.577,0.88,0.834,1
0.919,0.577,0.88,1.438,1
1.07,0.577,0.88,1.864,1
1.07,0.577,0.88,0.834,1
1.07,0.577,0.88,0.88,1
1.07,0.577,0.958,0.88,1
1.037,0.577,0.834,0.834,1
1.037,0.577,0.834,0.88,1
1.037,0.577,0.834,0.88,1
1.037,0.577,0.88,0.88,1
1.037,0.577,0.88,0.834,1
1.005,0.577,0.88,1.864,1
1.156,0.577,0.88,1.484,1
1.156,0.577,0.88,1.484,1
1.156,0.577,0.88,1.182,1
1.156,0.577,0.958,1.182,1
1.156,0.577,0.834,0.834,1
1.362,0.577,0.935,0.834,1
1.362,0.577,0.935,0.834,1
1.362,0.834,0.834,0.834,1
1.329,0.801,0.88,0.88,1
1.329,0.801,0.88,0.88,1
1.329,0.801,0.834,1.517,1
1.329,0.801,0.88,1.484,1
1.329,1.254,0.834,1.484,1
1.329,1.254,0.88,1.484,1
1.329,1.254,0.834,1.484,1
1.178,1.103,0.935,1.562,1
1.178,1.103,1.014,1.562,1
1.178,1.07,1.014,1.484,1
1.178,1.07,0.88,0.834,1
1.329,1.428,0.935,0.834,1
1.562,0.577,0.834,1.562,1
1.136,0.577,0.913,0.834,1
0.801,0.577,0.88,1.26,1
0.801,0.577,0.834,0.834,1
0.801,0.577,0.834,0.913,1
0.801,0.577,0.834,0.834,1
0.801,0.577,0.913,0.913,1
0.801,0.577,0.88,0.834,1
0.801,0.577,0.88,0.834,1
1.227,0.577,0.834,1.306,1
1.227,0.577,0.913,0.913,1
1.227,0.577,0.913,0.88,1
1.434,0.577,0.913,1.591,1
0.801,0.577,0.834,0.834,1
1.103,0.577,0.834,1.136,1
1.103,0.577,0.913,0.834,1
1.103,0.577,0.913,0.88,1
1.103,0.577,0.88,1.411,1
1.103,0.577,0.88,1.215,1
1.103,0.577,0.834,0.834,1
1.07,0.577,0.88,0.834,1
0.919,0.577,0.88,0.834,1
1.07,0.577,0.88,1.438,1
1.07,0.577,0.88,1.438,1
1.07,0.577,0.834,1.438,1
1.07,0.577,0.913,1.517,1
1.07,0.577,0.88,0.834,1
1.07,0.577,0.88,0.834,1
1.07,0.577,0.88,1.333,1
0.919,0.577,0.834,1.26,1
0.919,0.577,0.88,0.834,1
0.886,0.577,0.834,0.834,1
0.886,0.577,0.834,0.88,1
0.886,0.577,0.88,0.834,1
0.886,0.577,0.958,0.834,1
0.886,0.577,0.958,1.484,1
0.886,0.577,0.913,0.834,1
0.886,0.577,0.958,1.562,1
0.886,0.577,0.834,0.913,1
0.886,0.577,0.88,1.031,1
0.886,0.577,0.913,1.182,1
